variable,tipo,movilidad,flujo,unidad_medida,nivel,fecha,valor
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-03-01,63.55
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-03-01,43.37
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-03-01,55.66
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-03-01,63.9
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-04-01,61.56
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-04-01,44.2
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-04-01,52.83
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-04-01,67.08
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-05-01,68.1
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-05-01,53.98
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-05-01,54.38
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-05-01,70.74
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-06-01,70.12
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-06-01,48.46
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-06-01,54.86
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-06-01,72.07
gasto_medio,Excursionistas fronterizos,En automóviles,entrada,Dólares,nacional,2024-07-01,62.63
gasto_medio,Excursionistas fronterizos,Peatones,entrada,Dólares,nacional,2024-07-01,48.4
gasto_medio,Excursionistas fronterizos,Peatones,salida,Dólares,nacional,2024-07-01,52.99
gasto_medio,Excursionistas fronterizos,En automóviles,salida,Dólares,nacional,2024-07-01,63.46
